Company_ID,CompanyName,ESG Rating,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,F-01_value,F-01_value_keyword,F-01_unit,F-01_unit_keyword,F-02_value,F-02_value_keyword,F-02_unit,F-02_unit_keyword,E-01_value,E-01_value_keyword,E-01_unit,E-01_unit_keyword,E-02_value,E-02_value_keyword,E-02_unit,E-02_unit_keyword,E-03_value,E-03_value_keyword,E-03_unit,E-03_unit_keyword,E-04_value,E-04_value_keyword,E-04_unit,E-04_unit_keyword,E-05_value,E-05_value_keyword,E-05_unit,E-05_unit_keyword,E-06_value,E-06_value_keyword,E-06_unit,E-06_unit_keyword,E-07_value,E-07_value_keyword,E-07_unit,E-07_unit_keyword,S-01_value,S-01_value_keyword,S-01_unit,S-01_unit_keyword,S-02_value,S-02_value_keyword,S-02_unit,S-02_unit_keyword,S-03_value,S-03_value_keyword,S-03_unit,S-03_unit_keyword,S-04_value,S-04_value_keyword,S-04_unit,S-04_unit_keyword,S-05_value,S-05_value_keyword,S-05_unit,S-05_unit_keyword,S-06_value,S-06_value_keyword,S-06_unit,S-06_unit_keyword,S-07_value,S-07_value_keyword,S-07_unit,S-07_unit_keyword,S-08_value,S-08_value_keyword,S-08_unit,S-08_unit_keyword,S-09_value,S-09_value_keyword,S-09_unit,S-09_unit_keyword,G-01_value,G-01_value_keyword,G-01_unit,G-01_unit_keyword,G-02_value,G-02_value_keyword,G-02_unit,G-02_unit_keyword,G-03_value,G-03_value_keyword,G-03_unit,G-03_unit_keyword,G-04_value,G-04_value_keyword,G-04_unit,G-04_unit_keyword,G-05_value,G-05_value_keyword,G-05_unit,G-05_unit_keyword,G-06_value,G-06_value_keyword,G-06_unit,G-06_unit_keyword,G-07_value,G-07_value_keyword,G-07_unit,G-07_unit_keyword,G-08_value,G-08_value_keyword,G-08_unit,G-08_unit_keyword,,Sentiment_Score,,share_price,income,WACC,volatility,liquidity_ratio,beta_coefficient,GDP_growth,unemployment_rate
11,Pegatron,B,63.516667,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,1256000,Revenue,Million NTD,,0.0314,,,,33097.7,Scope 1,metric tons CO2 equivalent ? MT CO2e,"tons CO2e, by market base",251462.24,Scope 2,metric tons CO2 equivalent ? MT CO2e,"tons CO2e, by market base",10141424,Scope 3,metric tons CO2 equivalent ? MT CO2e,tons CO2e,724374,Electricity consumption, MWh,,4475352,Annual Water Consumption,cubic meters,cubic meters,51472,Total waste generation,Metric Tons,metric tons,329695,Purchase renewable energy and renewable energy certificate,MWh,MWh,4.56,,,,98202,"Employee size
(dispatched labor included)",,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,GRI Standard,,,1,External assurance,,,1,Statement on sustainable development strategy,,,,,,,1,Material Topics,,,,0.643678161,,4.24,6.7,8.72,12,1.86,1.61,5.2,5.2
12,BOE,BBB,65.375,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,136000,,Million  RMB,,0.145,,,,228919.32,,metric tons CO2 equivalent ? MT CO2e,,1956826.22,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,6621478.44,, MWh,,10000000,,cubic meters,,288981.2,,Metric Tons,,128586.36,,MWh,,24.036,,,,76459,,,,49,,,,100,,,,61,,,,0,,,,359.4,,,,35122915,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.507894737,,0.72,5.03,5.99,18,1.38,1.68,2.2,5.2
13,BOE,BBB,73.7,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,219309.8,,Million  RMB,,0.155,,,,225331.32,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,410000,, MWh,,9301742.64,,cubic meters,,120627.6,,Metric Tons,,13029401.36,,MWh,,9.29,,,,79461,,,,30,,%,,90.766,,,,19.23,,,,0.2,,,,397,,,,50484908,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.507894737,,1.01,25.96,6.63,23,1.45,1.96,8.4,5.1
14,BOE,BBB,66.9,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,178413.73,,Million  RMB,,0.148,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,2130340,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,11000000,, MWh,,12900684.51,,cubic meters,,272200.2,,Metric Tons,,13029401.36,,MWh,,9.29,,,,88343,,,,31,,%,,90.766,,,,31.03,,,,0,,,,384.8,,,,50484908,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.507894737,,0.76,7.54,5.87,19,1.55,1.77,3.1,5.6
15,BOE,BB,60.5,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,174543.45,Revenue,Million  RMB,RMB,0.141,,,,669700,Scope 1,metric tons CO2 equivalent ? MT CO2e,tCO2e,6244700,Scope 2,metric tons CO2 equivalent ? MT CO2e,million tCO2e,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,10997670,Electricity (Photovoltaic involved), MWh,,11518300,Water consumption,cubic meters,million m3,272200.2,,Metric Tons,,13029401.36,,MWh,,12.618,,,,90563,Total number of employees,,,31,Proportion of female employees,%,%,100,Employee safety training rate,%,%,56.582,,,,0,,,,365.4,,,,49914000,,USD,,0,,,,36,independent Board members,%,%,0,major corruption incident in severe violation of regulations,,,0,,,,1,GRI Standard,,,1,External assurance,,,1,Statement on sustainable development strategy,,,,,,,1,Material Topics,,,,0.507894737,,0.63,2.55,5.75,12,1.51,1.7,5.2,5.2
16,TCL,A,73.8,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2020,105640,,Million  RMB,,0.145,,,,157450,,metric tons CO2 equivalent ? MT CO2e,,219077.21,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,371720.06,, MWh,,3852652.86,,cubic meters,,7736.65,Non-hazardous waste,Metric Tons,,29098.71,,MWH,,19.044,,,,57496,,,,40.3,,,,100,,%,,27.11,,Hour,,0,,Person,,957,,Days,,57275,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,0,,,,,,,,1,,,,,0.730769231,,0.77,7.3,5.32,18,1.72,1.65,2.2,5.2
17,TCL,A,73.6,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2021,105640,,Million  RMB,,0.155,,,,157450,,metric tons CO2 equivalent ? MT CO2e,,219077.21,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,371720.06,, MWh,,3852652.86,,cubic meters,,7736.65,Non-hazardous waste,Metric Tons,,29098.71,,MWH,,19.044,,,,57496,,,,40.3,,,,100,,%,,27.11,,Hour,,0,,Person,,957,,Days,,61225,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,0,,,,,,,,1,,,,,0.730769231,,0.82,15.2,5.54,17,1.92,1.59,8.4,5.1
18,TCL,BBB,68.483333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2022,106086,,Million  RMB,,0.148,,,,433956,,metric tons CO2 equivalent ? MT CO2e,,293444.9,,metric tons CO2 equivalent ? MT CO2e,,3415483,,metric tons CO2 equivalent ? MT CO2e,,512533.95,, MWh,,4125758.28,,cubic meters,,153520.57,Non-hazardous waste,Metric Tons,,512533.95,,MWh,,4.56,,,,63258,,,,30.18,,,,58.13,,%,,29.35,,Hour (s),,1,,No. of people,,1548,,Day (s),,3007374.8,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.730769231,,0.52,1.8,4.67,15,2.03,1.35,3.1,5.6
19,TCL,A,79.733333,China,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,EN,2023,120320,,Million  RMB,,0.141,,,,483416.4,Scope 1 GHG emissions,metric tons CO2 equivalent ? MT CO2e,tCO2e,342361.58,Scope 2 GHG emissions,metric tons CO2 equivalent ? MT CO2e,tCO2e,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,595282.37,Total purchased electricity, MWh,,4415359.52,Total water consumption,cubic meters,Tonne (s),79008.8,,Metric Tons,,87570.63,Solar power generation for self-use k,MWh,,4.2,,,,67177,Total number of employees,,,33,Percentage of trained female employees,%,%,60,Percentage of trained employees,%,%,20,Average training hours per employee,Hour (s),Hour (s),2,Number of deaths related to work,No. of people,No. of people,2394,Total lost days due to occupational injury,Day (s),Day (s) 2,2240490,Contribution of funds,USD,RMB0'000,0,,,,36,,,,0,corruption case has been file and concluded,,,0,,,,1,GRI Content Index,,,1,third-party carbon verification agency,,,1,Statement on sustainable development strategy,,,,,,,1,Management of material topics,,,,0.730769231,,0.62,4.8,4.98,12,1.99,0.83,5.2,5.2
20,Microsoft,AAA,91,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2020,143020,,Millions USD,,1,,,,118100,,metric tons CO2 equivalent ? MT CO2e,mtCO2e,228194,,metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,10244377,, MWh,,3966639,,cubic meters,,40570,,Metric Tons,,805992,Renewable energy purchased & consumed ? solar,MWh,,4.56,,,,86294.18,,,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.638961039,,216.4,442.8,9.76,31,1.44,0.93,-2.2,8.1
21,Microsoft,AAA,92.3,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,,2021,168090,,Millions USD,,1,,,,94292,,metric tons CO2 equivalent ? MT CO2e,,163354,,metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,12969393,, MWh,,4478000,,cubic meters,,22518,,Metric Tons,,1916686,,MWh,,4.56,,,,86294.18,,,,35.42,,,,97.004,,,,22.16,,,,0.4,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.638961039,,281,412.7,9.82,29,1.46,1.26,5.9,5.4
22,Microsoft,AAA,92.6,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2022,198270,,Millions USD,,1,,,,139413,Scope1,metric tons CO2 equivalent ? MT CO2e,Metric tons CO2e,288029,Scope2,metric tons CO2 equivalent ? MT CO2e,Metric tons CO2e,12571000,Scope3,metric tons CO2 equivalent ? MT CO2e,Metric tons CO2e,7374071.14,, MWh,,6399415,Total water consumption,cubic meters,m3,12159,Waste,Metric Tons,metric tons,13077785.4,,MWh,,4.68,,,,86294.18,,,,36.02,,,,89.63,,,,25.736,,,,0.4,,,,489.4,,,,34918184,,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI,,,1,third-party assurance,,,1,environmental sustainability strategy,,,,,,,0,,,,,0.638961039,,277,727.4,10.3,35,1.42,1.22,2.5,3.6
23,Microsoft,AAA,71.025,USA,Information Technology,"Electronic Equipment, Instruments & Components",System Software,EN,2023,211920,,Millions USD,,1,,,,228919.32,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,23600000,, MWh,,61700000,,cubic meters,,18537,,Metric Tons,,19800,,MWh,,20.832,,,,86294.18,,,,49.08,,,,90.046,,,,36.996,,,,0,,,,138.2,,,,31340040,,USD,,0,,,,36,,,,4.6,,,,0,,,,1,GRI,,,1,third-party assurance,,,1,environmental sustainability strategy,,,,,,,1,,,,,0.638961039,,317,881.4,9.92,24,1.53,1.54,2.9,4.1
24,SAP,AAA,92.9,Germany,Information Technology,Software & Services,System Software,EN,2020,27338,,? millions EUR,,1.14,,,,225331.32,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,361000,, MWh,,988000,,cubic meters,,1340,,Metric Tons,,128586.36,,MWh,,11.884,,,,102430,,,,33.6,, %,,90.766,,,,39.802,,,,0.2,,,,160.6,,,,34427280,,USD,,0,,,,36,,,,6.6,,,,0,,,,1,GRI,,,1,,,,1,,,,,,,,1,,,,,0.710588235,,134.39,5.26,7.98,27,1.94,0.8,-3.8,4.3
25,SAP,AAA,91.25,Germany,Information Technology,Software & Services,System Software,EN,2021,27842,,? millions EUR,,1.182,,,,225331.32,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,429000,, MWh,,765000,,cubic meters,,3000,,Metric Tons,,128586.36,,MWh,,11.884,,,,107415,,,,34.3,, %,,90.766,,,,39.802,,,,0.2,,,,160.6,,,,34427280,,USD,,0,,,,36,,,,6.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.710588235,,101.03,2.28,8.25,32,2.03,0.8,3.1,4.7
26,SAP,AAA,91.9,Germany,Information Technology,Software & Services,System Software,EN,2022,30871,,? millions EUR,,1.051,,,,225331.32,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,306000,, MWh,,878000,,cubic meters,,1000,,Metric Tons,,128586.36,,MWh,,11.884,,,,111961,,,,35,, %,,90.466,,,,54.33,,,,0.4,,,,178.4,,,,34427280,,USD,,0,,,,36,,,,4.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.710588235,,152.2,6.14,9.78,24,2.12,0.58,1.8,3
27,SAP,AAA,84.616667,Germany,Information Technology,Software & Services,System Software,EN,2023,31207,Total revenue (IFRS),? millions EUR,,1.082,,,,281159.66,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,2744200,, MWh,,710000,Global Water Usage,cubic meters,Thousand cubic meters,16810.8,,Metric Tons,,128586.36,,MWh,,6,Total turnover rate,%,%,107602,Number of employees,,,35.2,Women working at SAP,%,%,90.066,,,,52.988,,,,0.4,,,,192.4,,,,27266400,social investments,USD,million,0,,,,36,,,,2,,,,0,,,,1,GRI Standards,,,1,External assurance,,,1,Sustainable Development Goals,,,,,,,1,Material Topics,,,,0.710588235,,216.61,2.56,10.32,26,2.08,0.81,-0.3,5.7
28,HUAWEI,BB,57.7,China,Information Technology,Software & Services,System Software,CN,2020,891400,,Million  RMB,,0.145,,,,228971.66,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,13570000,, MWh,,16178196.92,,cubic meters,,3000,,Metric Tons,,21916,,MWh,,11.754,,,,86294.18,,,,72.798,,,,99.764,,,,35.442,,,,0.2,,,,232.6,,,,20557116,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,0,,,,,0.748235294,,,41.87,,38,1.82,1.71,2.2,5.2
29,HUAWEI,BB,56.341667,China,Information Technology,Software & Services,System Software,CN,2021,636800,,Million  RMB,,0.155,,,,228971.66,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,12600000,, MWh,,16281902.56,,cubic meters,,177381.2,,Metric Tons,,31187,,MWh,,11.754,,,,86294.18,,,,72.798,,,,99.764,,,,35.442,,,,0.6,,,,340,,,,20557116,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,0,,,,,0.748235294,,,68.59,,36,1.93,1.74,8.4,5.1
30,HUAWEI,BB,57.4,China,Information Technology,Software & Services,System Software,CN,2022,642300,,Million  RMB,,0.148,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,7374071.14,, MWh,,14143286.44,,cubic meters,,8600,,Metric Tons,,13102741.36,,MWh,,11.474,,,,86294.18,,,,72.158,,,,99.204,,,,35.442,,,,0.6,,,,232.6,,,,20557116,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,0,,,,,0.748235294,,,32.75,,31,2.02,1.72,3.1,5.6
31,HUAWEI,BB,59.666667,China,Information Technology,Software & Services,System Software,CN,2023,704200,,Million  RMB,,0.141,,,,117700,???,metric tons CO2 equivalent ? MT CO2e,t-CO2e,151590,,metric tons CO2 equivalent ? MT CO2e,t-CO2e,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,7374071.14,, MWh,,14143286.44,,cubic meters,,177381.2,,Metric Tons,,39318,,MWh,??,11.474,,,,86294.18,,,,72.158,,,,99.204,,,,35.442,,,,0.6,,,,232.6,,,,20557116,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,?????,,,1,???????,,,,,,,0,,,,,0.748235294,,,147.44,,35,2.06,1.79,5.2,5.2
32,Kingdee International Software Group,AA,82.6,China,Information Technology,Software & Services,Application Software,EN,2020,3356.45,,Million  RMB,,0.145,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,8246,, MWh,,124013,,cubic meters,,16810.8,,Metric Tons,,6541286.36,,MWh,,17.17,,%,,10663,,,,33.6,,,,99.888,,,,9.47,,,,0,,,,0,,,,28406.4,,USD,,0,,,,36,,,,23,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.737931034,,2.87,0.39,7.16,19,1.42,1.54,2.2,5.2
33,Kingdee International Software Group,AA,82,China,Information Technology,Software & Services,Application Software,EN,2021,4174.15,,Million  RMB,,0.155,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,1268143.36,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,10155,, MWh,,164222,,cubic meters,,16810.8,,Metric Tons,,6541286.36,,MWh,,20.15,,%,,11588,,,,32.78,,,,99.44,,,,6.81,,,,0,,,,55,,,,38958272,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.737931034,,4.37,0.58,7.41,24,1.54,1.8,8.4,5.1
