No.,CompanyName,Company Name (CN),Country,Sector,Industrygroup,Industry,Total number of EN report,Total number of CN report,ESG or CSR report homepage,2020_EN Report,2020_CN Report,2021_EN Report,2021_CN Report,2022_EN Report,2022_CN Report,2023_EN Report,2023_CN Report,2024_EN Report,2024_CN Report,Person in charge,
39,Cognizant,高知特,USA,Information Technology,Software & Services,IT Consulting & Other Services,4,0,https://www.cognizant.com/sg/en/about-cognizant/sustainability-corporate-citizenship#spy-reports,https://www.cognizant.com/en_us/about/documents/2020-cognizant-esg-report.pdf,,https://www.cognizant.com/en_us/about/documents/esg-report-2021.pdf,,https://www.cognizant.com/en_us/about/documents/2022-esg-report.pdf,,https://www.cognizant.com/en_us/about/documents/cognizant-2023-sustainability-report.pdf,,,,Dai Yifan,
40,Infosys,印孚瑟斯,India,Information Technology,Software & Services,IT Consulting & Other Services,4,0,https://www.infosys.com/about/esg/sustainability-reports.html,https://www.infosys.com/sustainability/documents/infosys-esg-report-2020-21.pdf,,https://www.infosys.com/sustainability/documents/infosys-esg-report-2021-22.pdf,,https://www.infosys.com/sustainability/documents/infosys-esg-report-2022-23.pdf,,https://www.infosys.com/sustainability/documents/infosys-esg-report-2023-24.pdf,,,,Dai Yifan,
41,Wipro,威普罗,India,Information Technology,Software & Services,IT Consulting & Other Services,4,0,https://www.wipro.com/sustainability-archive/,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/sustainability-report.pdf,,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/wipro-sustainability-report-fy-2021-22.pdf,,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/wipro-sustainability-report-fy-2022-2023.pdf,,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/wipro-sustainability-report-fy-2023-2024.pdf,,,,Dai Yifan,
42,HCLTech,HCL科技,India,Information Technology,Software & Services,IT Consulting & Other Services,4,0,https://www.hcltech.com/sustainability,,,https://www.hcltech.com/sites/default/files/document/open/Sustainability-Report-2021.pdf,,https://www.hcltech.com/sites/default/files/document/open/FY2022_HCL_Sustainability_Report.pdf,,https://www.hcltech.com/sites/default/files/document/open/FY2023_HCLTech_Sustainability_Report.pdf,,https://www.hcltech.com/sustainability/sustainability-report-fy2024,,Dai Yifan,
43,Meta,元,USA,Information Technology,Software & Services,Internet Services & Infrastructure,4,0,https://sustainability.atmeta.com/resources/,https://sustainability.atmeta.com/wp-content/uploads/2021/06/2020_FB_Sustainability-Report-3.pdf,,https://sustainability.atmeta.com/wp-content/uploads/2022/06/Meta-2021-Sustainability-Report.pdf,,,,https://sustainability.atmeta.com/wp-content/uploads/2023/07/Meta-2023-Sustainability-Report-1.pdf,,https://sustainability.atmeta.com/wp-content/uploads/2024/08/Meta-2024-Sustainability-Report.pdf,,Dai Yifan,
44,Cadence Design Systems,益华,USA,Information Technology,Software & Services,System Software,4,0,https://www.cadence.com/en_US/home/company/csr.html,https://issuu.com/cdns/docs/cadence_2020_sustainability_report?fr=sNWU1NTMyMzM4MTY,,https://issuu.com/cdns/docs/cadence_2021_sustainability_report?fr=sZDY3YjMyMzM4MTY,,https://www.cadence.com/content/dam/cadence-www/global/en_US/documents/company/csr/cadence-2022-environmental-social-and-governance-report.pdf,,https://www.cadence.com/content/dam/cadence-www/global/en_US/documents/company/csr/cadence-2023-environmental-social-and-governance-report.pdf,,,,Dai Yifan,
45,Dassault,达索系统,France,Information Technology,Software & Services,System Software,4,0,https://investor.3ds.com/earnings-reports/annual-report?_gl=1*1fqfh8g*_gcl_au*NTk4Nzg0MTAyLjE3MjUzNDkyNDg.*_ga*MTQ5MDM3NTUwMi4xNzI1MzQ5MjQ3*_ga_DYJDKXYEZ4*MTcyNTM0OTI0Ni4xLjEuMTcyNTM0OTQ0Ny41Ni4wLjA.*_ga_39DKQ0LYW1*MTcyNTM0OTI0Ni4xLjEuMTcyNTM0OTQ0My4wLjAuMA..,https://investor.3ds.com/static-files/7f92f19a-c221-4f87-a305-0998dfe63dd1,,https://investor.3ds.com/static-files/c0cb2902-83e8-4047-a3fc-a1bf441ac759,,https://investor.3ds.com/static-files/613d4b4c-1982-4a16-91b3-4ff4948d53c2,,https://investor.3ds.com/static-files/8400f01a-f7c3-4826-9a82-03c5ba667d05,,,,Dai Yifan,
46,Workday,沃特科,USA,Information Technology,Software & Services,Application Software,2,0,https://www.responsibilityreports.com/Company/workday,,,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/NYSE_WDAY_2021.pdf,,,,,,https://www.workday.com/content/dam/web/en-us/documents/other/workday-global-impact-report.pdf,,Dai Yifan,
47,Atlassian,艾特莱森,Australia,Information Technology,Software & Services,Application Software,4,0,https://www.atlassian.com/company/corporate-social-responsibility/report,https://wac-cdn.atlassian.com/dam/jcr:0d978a4a-3328-4241-8069-9d880e600b77/Atlassian%20Sustainability%20Report%20FY20.pdf?cdnVersion=2201,,https://wac-cdn.atlassian.com/dam/jcr:5dbbbd09-355e-49b9-a486-604b0626b881/Atlassian%20Sustainability%20Report%20FY21.pdf?cdnVersion=2201,,https://wac-cdn.atlassian.com/dam/jcr:807d335e-7e21-4bff-b85b-210e66dbbf03/FY22%20Atlassian%20Sustainability%20Report.pdf?cdnVersion=2201,,https://wac-cdn.atlassian.com/dam/jcr:6926baa1-1e4a-4871-aba2-af28c06ffaab/FY23%20Atlassian%20Sustainability%20Report.pdf?cdnVersion=2201,,,,Dai Yifan,
48,Sage,Sage,UK,Information Technology,Software & Services,Application Software,3,0,https://www.sage.com/en-gb/company/sustainability-and-society/#reports,,,https://www.sage.com/en-gb/-/media/files/investors/documents/pdf/downloads/sage-sustainability-report-2021.pdf,,https://www.sage.com/en-gb/-/media/files/company/documents/pdf/sustainability-and-society/sustainability-and-society-report-gri-2022.pdf,,https://www.sage.com/en-gb/-/media/files/investors/documents/pdf/downloads/sage-sustainability-report-gri-2023.pdf,,,,Dai Yifan,
49,Autodesk,欧特克,USA,Information Technology,Software & Services,Application Software,5,0,https://www.autodesk.com/sustainability/impact-report,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/autodesk-fy2020-sustainability-report-Edit-Final.pdf,,https://damassets.autodesk.net/content/dam/autodesk/www/sustainability/docs/pdf/autodesk-fy2021-impact-report.pdf,,https://damassets.autodesk.net/content/dam/autodesk/www/sustainability/docs/pdf/autodesk-fy2022-impact-report.pdf,,https://damassets.autodesk.com/content/dam/autodesk/www/pdfs/fy23-autodesk-impact-report-en.pdf,,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/autodesk-fy24-impact-report.pdf,,Dai Yifan,
50,Temenos AG,Temenos AG,Switzerland,Information Technology,Software & Services,Application Software,3,0,https://www.responsibilityreports.com/Company/temenos-ag,,,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/temenos-ag_2021.pdf,,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/temenos-ag_2022.pdf,,https://www.temenos.com/wp-content/uploads/2024/04/Temenos_Sustainability-Report-2023.pdf,,,,Dai Yifan,
51,SEAGATE,希捷,Singapore,Information Technology,"Technology Hardware, Storage & Peripherals","echnology Hardware, Storage & Peripherals",3,0,https://www.seagate.com/sg/en/esg/resources/annul-reports-archive/,https://www.seagate.com/content/dam/seagate/migrated-assets/www-content/global-citizenship/en-us/docs/fy-2020-gc-annual-report-1.pdf,,https://www.seagate.com/content/dam/seagate/assets/esg/resources/annual-reports-archive/fy2021-gcar-final.pdf,,https://www.seagate.com/content/dam/seagate/assets/esg/resources/annual-reports-archive/seagate-fy2022-esg-performance-report.pdf,,,,,,Zhang Yuteng,
52,NETAPP,网域存储公司,USA,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",4,0,https://investors.netapp.com/environment-social-and-governance-report,https://www.netapp.com/pdf.html?item=/media/11875-netapp-2020-esg-report.pdf,,https://www.netapp.com/pdf.html?item=/media/60152-netapp-2021-esg-report.pdf,,https://investors.netapp.com/static-files/e3a41a70-4a87-4334-9b00-0ed279c13326,,https://www.netapp.com/pdf.html?item=/media/79434-NetApp-esg-report.pdf,,,,Zhang Yuteng,
53,BROTHER,兄弟工业,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",4,0,https://global.brother/en/sustainability/report-archive/download,https://download.brother.com/pub/com/en/csr/pdf/csr-2020-all.pdf,,https://download.brother.com/pub/com/en/csr/pdf/sus-2021-en.pdf,,https://download.brother.com/pub/com/en/csr/pdf/sus-2022-en.pdf,,https://download.brother.com/pub/com/en/csr/pdf/sus-2023-en.pdf,,,,Zhang Yuteng,
54,MOTOROLA,摩托罗拉解决方案,USA,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",4,0,https://www.motorolasolutions.com/en_us/about/environmental-social-corporate-governance-esg.html,https://www.motorolasolutions.com/content/dam/msi/docs/corporate-responsibility/coporate-responsibility-2020-report.pdf,,https://www.motorolasolutions.com/content/dam/msi/investors/doc_downloads/2022/06/2021-corporate-responsibility-report.pdf,,https://www.motorolasolutions.com/content/dam/msi/docs/about-us/dei/2022_corporate_responsibility_report.pdf,,https://www.motorolasolutions.com/content/dam/msi/docs/corporate-responsibility/2023-corporate-responsibility-report.pdf,,,,Zhang Yuteng,
55,SEIKO EPSON,精工爱普生,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",3,0,https://corporate.epson/en/sustainability/report/archive.html,https://corporate.epson/en/sustainability/report/pdf/2020/epson_sr2020_all_e.pdf,,https://corporate.epson/en/sustainability/report/pdf/2021/epson_sr2021_all_e.pdf,,https://corporate.epson/en/sustainability/report/pdf/2022/epson_sr2022_all_e.pdf,,,,,,Zhang Yuteng,
56,PURE STORAGE,None,USA,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",3,2,https://www.purestorage.com/company/corporate-social-responsibility.html,,,https://www.purestorage.com/content/dam/pdf/en/misc/esg/2021-esg-pure-report.pdf,https://www.purestorage.com/content/dam/pdf/zh-cn/misc/esg/2021-esg-pure-report-technology-zh-cn.pdf,,,https://www.purestorage.com/content/dam/pdf/en/misc/esg/2023-esg-pure-report.pdf,https://www.purestorage.com/content/dam/pdf/zh-cn/misc/esg/2023-esg-fact-sheet-zh-cn.pdf,https://www.purestorage.com/content/dam/pdf/en/misc/esg/2024-esg-pure-report.pdf,,Zhang Yuteng,
57,Compal Electronics,仁宝电脑,Taiwan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",4,4,https://www.compal.com/ESG/EN/download.aspx,https://www.compal.com/ESG/Upload/ReportImages/2021073116520120.pdf,https://www.compal.com/ESG/Upload/ReportImages/2021081317045390.pdf,https://www.compal.com/ESG/Upload/ReportImages/2022090213021660.pdf,https://www.compal.com/ESG/Upload/ReportImages/2022090213021641.pdf,https://www.compal.com/ESG/Upload/ReportImages/2023073111363517.pdf,https://www.compal.com/ESG/Upload/ReportImages/2023081511103619.pdf,https://www.compal.com/ESG/Upload/ReportImages/2024072916284038.pdf,https://www.compal.com/ESG/Upload/ReportImages/2024083015015680.pdf,,,Zhang Yuteng,
58,Supermicro,美超微电脑,USA,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",1,0,https://ir.supermicro.com/governance/governance-documents/default.aspx,,,,,,,https://www.supermicro.com/GreenComputing/Supermicro-ESG-Report-2023.pdf,,,,Zhang Yuteng,
59,Anker Innovations,安克创新科技,China,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",2,0,https://en.anker-in.com/environmental_and_social/,,,,,https://en.anker-in.com/wp-content/uploads/2023/06/Anker-Innovations-2022-ESG-Report.pdf,,https://cn.anker-in.com/esg-report/english-2023.pdf,,,,Zhang Yuteng,
60,Canon,佳能,Japan,Information Technology,"Technology Hardware, Storage & Peripherals","Technology hardware, storage & peripherals industry",5,0,https://global.canon/en/sustainability/report/,https://global.canon/en/sustainability/report/pdf/canon-sus-2020-e.pdf,,https://global.canon/en/sustainability/report/pdf/canon-sus-2021-e.pdf,,https://global.canon/en/sustainability/report/pdf/canon-sus-2022-e.pdf,,https://global.canon/en/sustainability/report/pdf/canon-sus-2023-e.pdf,,https://global.canon/en/sustainability/report/pdf/canon-sus-2024-e.pdf,,Zhang Yuteng,
61,Omron,欧姆龙,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://sustainability.omron.com/en/pdf_inquiry/,https://www.omron.com/jp/ja/ir/irlib/pdfs/ar20e/OMRON_Integrated_Report_2020_en_A4.pdf,https://www.omron.com.cn/csr/file/2020-report.pdf,https://www.omron.com/global/en/assets/file/ir/irlib/ar21e/OMRON_Integrated_Report_2021_en_A4.pdf,https://www.omron.com.cn/csr/file/2021-report.pdf,https://www.omron.com/global/en/assets/file/ir/irlib/ar22e/OMRON_Integrated_Report_2022_en_A4.pdf,https://www.omron.com.cn/csr/file/OMRON_Integrated_Report_2022_CN.pdf,https://www.omron.com/global/en/assets/file/ir/irlib/ar23e/OMRON_Integrated_Report_2023_en_A4.pdf?231011,https://www.omron.com.cn/csr/file/OMRON_Integrated_Report2023_CH_0118.pdf,,,Zhang Yuteng,
62,Delta,台达,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://esg.deltaww.com/en/CSR-Reports,https://filecenter.deltaww.com/about/download/2020_Delta_ESG_Report_EN.pdf,https://filecenter.deltaww.com/about/download/2020_Delta_ESG_Report_CH.pdf,https://filecenter.deltaww.com/about/download/2021_Delta_ESG_Report_EN.pdf,https://filecenter.deltaww.com/about/download/2021_Delta_ESG_Report_CH.pdf,https://filecenter.deltaww.com/about/download/2022_Delta_ESG_Report_EN.pdf,https://filecenter.deltaww.com/about/download/2022_Delta_ESG_Report_CH.pdf,https://filecenter.deltaww.com/about/download/2023_Delta_ESG_Report_EN.pdf,https://filecenter.deltaww.com/about/download/2023_Delta_ESG_Report_CH.pdf,,,Zhang Yuteng,
63,Trimble,天宝,USA,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3,0,https://www.trimble.com/en/sustainability,,,https://assets.ctfassets.net/citn2sn5tdjr/3NhCC2iyttASr6LOMyjOUy/3f453b3b877267df7cafa13c3bd6bc56/trimble-sustainability-report-2021.pdf,,https://www.trimble.com/downloads/4K6TJvfQn5fT6yn253RiEK/0c3ad99e7eb9457eebd5237b09a745b7/trimble-sustainability-report-2022.pdf,,,,,,Zhang Yuteng,
64,USI,环隆电气,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://www.usiglobal.com/en/report,https://www.usiglobal.com/download/2jRkaStw8AzGaZn0,https://www.usiglobal.com/download/fQgnV6PBErsW8mUd,https://www.usiglobal.com/download/eQVkmj806SOusaQI,https://www.usiglobal.com/download/bVWjfLSG8v3bCyOr,https://www.usiglobal.com/download/C2iVCscRQnKRZZf1,https://www.usiglobal.com/download/y19R4hYgc3SEOUup,https://www.usiglobal.com/download/7DVVJVJWZoKfbCqk,https://www.usiglobal.com/download/ShPcCyMIs91Dn0di,,,Zhang Yuteng,
65,YAGEO,台湾国巨,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3,4,https://www.yageo.com/en/Html/Index/csr,https://www.yageo.com/upload/media/about/CSR/YAGEO_CSR2020_en.pdf,https://www.yageo.com/upload/media/about/CSR/YAGEO_CSR2020_tw.pdf,https://www.yageo.com/upload/media/about/ESG/2021/YAGEO_ESG2021_en.pdf,https://www.yageo.com/upload/media/about/ESG/2021/YAGEO_ESG2021_tw.pdf,https://www.yageo.com/upload/media/about/ESG/2022/YAGEO_ESG2022_en.pdf,https://www.yageo.com/upload/media/about/ESG/2022/YAGEO_ESG2022_tw.pdf,,https://www.yageo.com/upload/media/about/ESG/2023/YAGEO_ESG2023_tw.pdf,,,Zhang Yuteng,
66,KYOCERA,京瓷,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,0,https://global.kyocera.com/sustainability/catalog/index.html,https://global.kyocera.com/sustainability/catalog/pdf/2020/all.pdf,,https://global.kyocera.com/sustainability/catalog/pdf/2021/all.pdf,,https://global.kyocera.com/sustainability/catalog/pdf/2022/all.pdf,,https://global.kyocera.com/sustainability/catalog/pdf/2023/all.pdf,,,,Zhang Yuteng,
67,Yokogawa,横河,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,1,https://www.yokogawa.com/about/sustainability/report/,https://web-material3.yokogawa.com/24/15654/tabs/2020_Yokogawa_Sustainability_Report.pdf?_ga=2.120932616.1242639079.1725341184-179743273.1725341184,,https://web-material3.yokogawa.com/24/15654/tabs/2021_Yokogawa_Sustainability_Report.pdf?_ga=2.120932616.1242639079.1725341184-179743273.1725341184,,https://web-material3.yokogawa.com/24/15654/tabs/YOKOGAWA_SUSTAINABILITY_REPORT_2022_E.pdf?_ga=2.120932616.1242639079.1725341184-179743273.1725341184,,https://web-material3.yokogawa.com/24/15654/tabs/YOKOGAWA_SUSTAINABILITY_REPORT_2023_E.pdf?_ga=2.36045216.1242639079.1725341184-179743273.1725341184,https://web-material3.yokogawa.com/24/15654/tabs/YOKOGAWA_SUSTAINABILITY_REPORT_2023_ZH.pdf?_ga=2.36045216.1242639079.1,,,Zhang Yuteng,
68,TDK,东电化,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,0,https://www.tdk.com/en/sustainability/report/index.html,https://www.tdk.com/system/files/127758843/tdk_sustainability_2020_en.pdf,,https://www.tdk.com/system/files/128540852/tdk_sustainability_2021_en.pdf,,https://www.tdk.com/system/files/sustainability/tdk_sustainability_2022_en.pdf,,https://www.tdk.com/system/files/tdk_sustainability_2023_en.pdf,,,,Zhang Yuteng,
69,E INK,元太科技,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://esg.eink.com/en/report?year=all&page=2,https://esg.eink.com/upload/2022_08_24/3_20220824180937xq1itdlfX4.pdf,https://esg.eink.com/upload/2022_08_08/2_20220808142942nb4bzcIzm0.pdf,https://esg.eink.com/upload/2024_01_04/3_20240104100755tn6j3eoGs0.pdf,https://esg.eink.com/upload/2024_01_04/3_20240104101254hx14bdvUz0.pdf,https://esg.eink.com/upload/2024_01_04/3_202401040947453tejtiys40.pdf,https://esg.eink.com/upload/2024_01_04/3_20240104095243uvz3gjR6U0.pdf,https://esg.eink.com/upload/2024_08_29/3_20240829165753lmlp4gyhg0.pdf,https://esg.eink.com/upload/2024_08_29/3_202408291649333zc3udgIf1.pdf,,,Zhang Yuteng,
70,SUNNY OPTICAL,舜宇光学,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://www.sunnyoptical.com/en/pub_list/007014/index.html,https://www.sunnyoptical.com/webfile/temps/202106519343417250.pdf,https://www.sunnyoptical.com/webfile/temps/202106519343417250.pdf,https://www.sunnyoptical.com/webfile/temps/202205421501064337.pdf,https://www.sunnyoptical.com/webfile/temps/202205421501064337.pdf,https://www.sunnyoptical.com/webfile/temps/202304311442375093.pdf,https://www.sunnyoptical.com/webfile/temps/202304311442375093.pdf,https://www.sunnyoptical.com/webfile/temps/202404313212293153.pdf,https://www.sunnyoptical.com/webfile/temps/202404313212293153.pdf,,,Zhang Yuteng,
71,ZHEN DING,臻鼎科技,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,4,https://www.zdtco.com/en/csr,https://www.zdtco.com/download/2020CSRReport,https://www.zdtco.com/download/2020CSR%E5%A0%B1%E5%91%8A%E6%9B%B8,https://www.zdtco.com/download/2021ESGReportEN,https://www.zdtco.com/download/2021ESGReport,https://www.zdtco.com/download/2022ESGEN,https://www.zdtco.com/download/2022ESGReport,https://www.zdtco.com/download/2023ESGReportEN,https://www.zdtco.com/download/2023ESGReport,,,Zhang Yuteng,
72,Foxconn,富士康,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,4,3,https://www.foxconn.com/en-us/CSR/csr-report,https://image.honhai.com/reports/CSR/EN/2020/2020%E9%B4%BB%E6%B5%B7%20CSR%20report-%E8%8B%B1%E6%96%87%E7%89%88.pdf,https://image.honhai.com/reports/CSR/CN/2020/2020%E9%B4%BB%E6%B5%B7%20CSR%20report-%E4%B8%AD%E6%96%87%E7%89%88.pdf,https://image.honhai.com/reports/CSR/EN/2021/HonHai_2021_Sustainability%20Report_EN.pdf,https://image.honhai.com/reports/CSR/CN/2021/HonHai_2021_Sustainability%20Report_CN.pdf,https://image.honhai.com/reports/CSR/EN/2022/HonHai_2022_Sustainability_Report_EN-Full.pdf,https://image.honhai.com/reports/CSR/CN/2022/%E9%B4%BB%E6%B5%B7-2022ESG(CH)-20230731-%E5%AE%8C%E6%95%B4%E7%89%88.pdf,https://image2.honhai.com/sustainability-reports/en/2023%20Sustainability%20Report(31-8-24).pdf,,,,Zhang Yuteng,
73,DSBJ,东山精密,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,0,2,https://www.dsbj.com/En/Index/pageView/catid/64.html,,https://cn.dsbj.com/Public/Uploads/uploadfile/files/20221118/20221118155632_63773ab0262f3.PDF,,https://cn.dsbj.com/Public/Uploads/uploadfile/files/20221118/20221118155616_63773aa0d4eff.PDF,,,,,,,Zhang Yuteng,
74,Shennan Circuits,深南电路,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3,3,https://www.scc.com.cn/scc/en/shzr/shzrbg/index.html,https://www.scc.com.cn/yskjcmsresource/document/20230317/821348910051098624.pdf,https://www.scc.com.cn/yskjcmsresource/document/20221128/781861688453365760.pdf,https://www.scc.com.cn/yskjcmsresource/document/20230317/821349251547136000.pdf,https://www.scc.com.cn/yskjcmsresource/document/20221128/781862273923678208.pdf,https://www.scc.com.cn/yskjcmsresource/document/20230428/836657391012413440.pdf,https://www.scc.com.cn/yskjcmsresource/document/20230427/836286778485768192.pdf,,,,,Zhang Yuteng,
75,UNIMICRON,欣兴电子,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3,3,https://www.unimicron.com/esg/en/ebook_list.html,https://www.unimicron.com/esg/report_en/responsibility2020_en/responsibility2020_en.pdf,https://www.unimicron.com/esg/report/responsibility2020/responsibility2020.pdf,https://www.unimicron.com/esg/report_en/responsibility2021_en/responsibility2021_en.pdf,,https://www.unimicron.com/esg/report_en/responsibility2022_en/responsibility2022_en.pdf,https://www.unimicron.com/esg/report/responsibility2022/responsibility2022.pdf,,https://www.unimicron.com/esg/report/responsibility2023/responsibility2023.pdf,,,Zhang Yuteng,
76,Tokyo Electron,东京威力科创,Japan,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,3,0,https://www.tel.com/sustainability/report/index.html,https://www.tel.com/sustainability/report/hq95qj0000000pdf-att/sustainability_report_2020_all_e.pdf,,https://www.tel.com/sustainability/report/index.html#year2021,,https://www.tel.com/sustainability/report/hq95qj00000005xy-att/sr2022_all_e.pdf,,,,,,Li Fangling,
77,ASML,阿斯麦尔,Netherlands,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,1,0,https://www.asml.com/en/company/sustainability,,,,,,,https://edge.sitecorecloud.io/asmlnetherlaaea-asmlcom-prd-5369/media/project/asmlcom/asmlcom/asml/files/investors/financial-results/a-results/2023/2023-annual-report-based-on-us-gaap-m7rf6.pdf,,,,Li Fangling,
78,Intel,英特尔,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,4,3,https://www.intc.com/esg,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2021-22-Full-Report.pdf,https://www.intel.cn/content/dam/www/public/cn/zh/documents/social/report-2022/csr-2021-22-full-report-cn.pdf,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2022-23-Full-Report.pdf,https://www.intel.com/content/dam/www/central-libraries/cn/zh/documents/2023-11/2022-23-corporate-responsibility-report-chinese-simplified.pdf,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2023-24-Full-Report.pdf,,,,Li Fangling,
79,NVIDIA,英伟达,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,5,2,https://www.nvidia.com/en-us/sustainability/,https://www.nvidia.com/content/dam/en-zz/Solutions/documents/FY2020-NVIDIA-CSR-Social-Responsibility.pdf,https://www.nvidia.cn/content/dam/en-zz/zh_cn/Solutions/csr/FY2020-NVIDIA-CSR-Social-Responsibility-CN.pdf,https://images.nvidia.com/aem-dam/Solutions/documents/FY2021-NVIDIA-CSR-Social-Responsibility.pdf,https://images.nvidia.cn/aem-dam/zh_cn/Solutions/documents/FY2021-NVIDIA-CSR-Social-Responsibility_CN_final.pdf,https://images.nvidia.com/aem-dam/en-zz/Solutions/csr/FY2022-NVIDIA-Corporate-Responsibility.pdf,,https://images.nvidia.com/aem-dam/Solutions/documents/FY2023-NVIDIA-Corporate-Responsibility-Report-1.pdf,,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf,,Li Fangling,
80,Infineon,英飞凌,Germany,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,4,0,,https://www.infineon.com/dgdl/Sustainability+at+Infineon+2020+secured.pdf?fileId=5546d46175e929e10175f21229ea0001,,https://www.infineon.com/dgdl/Sustainability+at+Infineon+Supplementing+the+Annual+Report+2021.pdf?fileId=8ac78c8b7d507352017d6b57a9f6016c,,https://www.infineon.com/dgdl/Sustainability+at+Infineon+2022.pdf?fileId=8ac78c8b84a33cb40184bd6a9c8f0035,,https://www.infineon.com/dgdl/Sustainability_at+Infineon_2023.pdf?fileId=8ac78c8b8b657de2018c009d03120100,,,,Li Fangling,
81,MICRON,美光,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,5,0,https://sg.micron.com/about/environmental-social-governance/esg-resources,https://www.micron.com/content/dam/micron/global/public/documents/about/sustainability/sustainability-report-2020.pdf,,https://www.micron.com/content/dam/micron/global/public/documents/about/sustainability/micron-sustainability-report-fy21-final.pdf,,https://tw.micron.com/content/dam/micron/global/public/documents/about/sustainability/2022-micron-sustainability-report.pdf,,https://tw.micron.com/content/dam/micron/global/public/documents/about/sustainability/2023-micron-sustainability-report.pdf,,https://tw.micron.com/content/dam/micron/global/public/documents/about/sustainability/2024-micron-sustainability-report.pdf,,Li Fangling,
